time,msenconds,signal,signal_copy
00:03:17.496747,21.593,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:17.597345,21.693,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:17.696420,21.792,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:17.796464,21.892,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:17.896211,21.992,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:17.997354,22.093,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:18.096236,22.192,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:18.198864,22.295,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:18.299024,22.395,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:18.399014,22.495,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:18.499295,22.595,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:18.599654,22.696,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:18.698375,22.794,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:18.799012,22.895,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:18.898956,22.995,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:18.998992,23.095,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:19.098547,23.194,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:19.198957,23.295,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:19.299492,23.395,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:19.398788,23.495,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:19.499499,23.595,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:19.599820,23.696,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:19.699889,23.796,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:19.800552,23.896,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:19.900016,23.996,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:19.999832,24.096,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:20.100913,24.197,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:20.201293,24.297,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:20.302004,24.398,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:20.401634,24.497,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:20.501875,24.598,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:20.601986,24.698,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:20.702989,24.799,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:20.802246,24.898,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:20.904208,25.000,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:21.003846,25.100,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:21.103063,25.199,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:21.204152,25.300,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:21.303164,25.399,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:21.403835,25.500,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:21.503008,25.599,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:21.604144,25.700,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:21.704911,25.801,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:21.805537,25.901,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:21.905301,26.001,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:22.005196,26.101,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:22.105136,26.201,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:22.205788,26.302,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:22.305172,26.401,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:22.406818,26.503,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:22.505809,26.602,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:22.606174,26.702,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:22.705336,26.801,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:22.806636,26.902,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:22.906433,27.002,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:23.006213,27.102,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:23.107396,27.203,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:23.206940,27.303,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:23.307202,27.403,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:23.408103,27.504,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:23.508909,27.605,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:23.608155,27.704,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:23.707845,27.804,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:23.810389,27.906,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:23.909389,28.005,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:24.008393,28.104,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:24.108877,28.205,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:24.209458,28.305,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:24.309205,28.405,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:24.409784,28.506,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
